pi,year,doi,title,title_clean
David Frisvold,2024,10.1089/neu.2023.0553,Imaging Findings in Acute Traumatic Brain Injury: a National Institute of Neurological Disorders and Stroke Common Data Element-Based Pictorial Review and Analysis of Over 4000 Admission Brain Computed Tomography Scans from the Collaborative European NeuroTrauma Effectiveness Research in Traumatic Brain Injury (CENTER-TBI) Study,imaging findings in acute traumatic brain injury: a national institute of neurological disorders and stroke common data element-based pictorial review and analysis of over 4000 admission brain computed tomography scans from the collaborative european neurotrauma effectiveness research in traumatic brain injury (center-tbi) study
David Frisvold,2020,10.17863/cam.53425,Compensatory-reserve-weighted intracranial pressure versus intracranial pressure for outcome association in adult traumatic brain injury: a CENTER-TBI validation study,compensatory-reserve-weighted intracranial pressure versus intracranial pressure for outcome association in adult traumatic brain injury: a center-tbi validation study
David Frisvold,2020,10.1016/j.jclinepi.2020.03.005,Machine learning algorithms performed no better than regression models for prognostication in traumatic brain injury,machine learning algorithms performed no better than regression models for prognostication in traumatic brain injury
David Frisvold,2020,10.17863/cam.70451,Low-resolution pressure reactivity index and its derived optimal cerebral perfusion pressure in adult traumatic brain injury: a CENTER-TBI study,low-resolution pressure reactivity index and its derived optimal cerebral perfusion pressure in adult traumatic brain injury: a center-tbi study
David Frisvold,2019,10.17863/cam.54278,Cerebrovascular reactivity is not associated with therapeutic intensity in adult traumatic brain injury: a CENTER-TBI analysis,cerebrovascular reactivity is not associated with therapeutic intensity in adult traumatic brain injury: a center-tbi analysis
David Frisvold,2022,10.1186/s13054-022-04250-3,Serum biomarkers identify critically ill traumatic brain injury patients for MRI,serum biomarkers identify critically ill traumatic brain injury patients for mri
David Frisvold,2021,10.17863/cam.65192,Use and impact of high intensity treatments in patients with traumatic brain injury across Europe: a CENTER-TBI analysis,use and impact of high intensity treatments in patients with traumatic brain injury across europe: a center-tbi analysis
David Frisvold,2020,10.17863/cam.65513,Quality indicators for patients with traumatic brain injury in European intensive care units: a CENTER-TBI study,quality indicators for patients with traumatic brain injury in european intensive care units: a center-tbi study
David Frisvold,2020,10.17863/cam.65182,Changing care pathways and between-center practice variations in intensive care for traumatic brain injury across Europe: a CENTER-TBI analysis,changing care pathways and between-center practice variations in intensive care for traumatic brain injury across europe: a center-tbi analysis
David Frisvold,2021,10.17863/cam.76352,Occurrence and timing of withdrawal of life-sustaining measures in traumatic brain injury patients: a CENTER-TBI study,occurrence and timing of withdrawal of life-sustaining measures in traumatic brain injury patients: a center-tbi study
David Frisvold,2020,10.17863/cam.69775,How do 66 European institutional review boards approve one protocol for an international prospective observational study on traumatic brain injury? Experiences from the CENTER-TBI study,how do 66 european institutional review boards approve one protocol for an international prospective observational study on traumatic brain injury? experiences from the center-tbi study
David Frisvold,2021,10.17863/cam.73948,Primary versus early secondary referral to a specialized neurotrauma center in patients with moderate/severe traumatic brain injury: a CENTER TBI study,primary versus early secondary referral to a specialized neurotrauma center in patients with moderate/severe traumatic brain injury: a center tbi study
David Frisvold,2020,10.1016/j.jcrc.2020.05.004,Informed consent procedures in patients with an acute inability to provide informed consent,informed consent procedures in patients with an acute inability to provide informed consent
David Frisvold,2020,10.1016/j.bja.2020.05.067,Tracheal intubation in traumatic brain injury,tracheal intubation in traumatic brain injury
David Frisvold,2020,10.1007/s00415-020-10022-2,Frequency of fatigue and its changes in the first 6 months after traumatic brain injury: results from the CENTER-TBI study,frequency of fatigue and its changes in the first 6 months after traumatic brain injury: results from the center-tbi study
David Frisvold,2017,10.22004/ag.econ.31603,AIR POLLUTION AND FARM-LEVEL CROP YIELDS: AN EMPIRICAL ANALYSIS OF CORN AND SOYBEANS,air pollution and farm-level crop yields: an empirical analysis of corn and soybeans
David Frisvold,2012,10.3386/w18341,The Impact of Physical Education on Obesity among Elementary School Children,the impact of physical education on obesity among elementary school children
David Frisvold,2022,10.1007/s00134-022-06884-x,High arterial oxygen levels and supplemental oxygen administration in traumatic brain injury: insights from CENTER-TBI and OzENTER-TBI,high arterial oxygen levels and supplemental oxygen administration in traumatic brain injury: insights from center-tbi and ozenter-tbi
Salvatore Saporito,2019,10.1088/1361-6579/ab0d3e,Remote timed up and go evaluation from activities of daily living reveals changing mobility after surgery,remote timed up and go evaluation from activities of daily living reveals changing mobility after surgery
Salvatore Saporito,2021,10.3390/microorganisms9091795,Structure–Activity Relationship Studies on Novel Antiviral Agents for Norovirus Infections,structure–activity relationship studies on novel antiviral agents for norovirus infections
Salvatore Saporito,2006,10.1186/1471-2334-6-38,Typhoid fever as a cause of opportunistic infection: case report,typhoid fever as a cause of opportunistic infection: case report
Salvatore Saporito,2018,10.1053/j.jvca.2018.11.026,A Systematic Review and International Web-Based Survey of Randomized Controlled Trials in the Perioperative and Critical Care Setting: Interventions Reducing Mortality,a systematic review and international web-based survey of randomized controlled trials in the perioperative and critical care setting: interventions reducing mortality
Salvatore Saporito,2019,10.1161/circulationaha.119.042007,Canagliflozin and Cardiovascular and Renal Outcomes in Type 2 Diabetes Mellitus and Chronic Kidney Disease in Primary and Secondary Cardiovascular Prevention Groups,canagliflozin and cardiovascular and renal outcomes in type 2 diabetes mellitus and chronic kidney disease in primary and secondary cardiovascular prevention groups
Salvatore Saporito,2016,10.1097/rli.0000000000000304,Model-based characterization of the transpulmonary circulation by dynamic contrast-enhanced MRI in heart failure and healthy volunteers,model-based characterization of the transpulmonary circulation by dynamic contrast-enhanced mri in heart failure and healthy volunteers
Salvatore Saporito,2016,10.1530/erp-16-0011,Pulmonary transit time measurement by contrast-enhanced ultrasound in left ventricular dyssynchrony,pulmonary transit time measurement by contrast-enhanced ultrasound in left ventricular dyssynchrony
Salvatore Saporito,2021,10.2337/dc20-2842,Relation of Lipoprotein(a) Levels to Incident Type 2 Diabetes and Modification by Alirocumab Treatment,relation of lipoprotein(a) levels to incident type 2 diabetes and modification by alirocumab treatment
Ildiko Magyari,2017,10.7916/d8bk1qnk,Essays in Trade and Factor Markets,essays in trade and factor markets
Ildiko Magyari,2019,10.5445/ir/1000118072,Fire hazard modulation by long-term dynamics in land cover and dominant forest type in eastern and central Europe,fire hazard modulation by long-term dynamics in land cover and dominant forest type in eastern and central europe
Ildiko Magyari,2018,10.1016/j.quaint.2017.03.012,Treeline and timberline dynamics on the northern and southern slopes of the Retezat Mountains (Romania) during the late glacial and the Holocene,treeline and timberline dynamics on the northern and southern slopes of the retezat mountains (romania) during the late glacial and the holocene
Tao Zha,2000,10.2139/ssrn.222949,A Gibbs simulator for restricted VAR models,a gibbs simulator for restricted var models
Tao Zha,2004,10.2139/ssrn.579022,Were there regime switches in U.S. monetary policy?,were there regime switches in u.s. monetary policy?
Tao Zha,1999,10.2139/ssrn.2491269,Modest policy interventions,modest policy interventions
Tao Zha,2012,10.3386/w17791,Confronting model misspecification in macroeconomics,confronting model misspecification in macroeconomics
Tao Zha,2004,10.2139/ssrn.2482442,Shocks and government beliefs: the rise and fall of American inflation,shocks and government beliefs: the rise and fall of american inflation
Tao Zha,2010,10.2139/ssrn.2481183,Do credit constraints amplify macroeconomic fluctuations?,do credit constraints amplify macroeconomic fluctuations?
Tao Zha,2002,10.2139/ssrn.316321,Evaluating Wall Street Journal survey forecasters: a multivariate approach,evaluating wall street journal survey forecasters: a multivariate approach
Tao Zha,2010,10.2139/ssrn.2482339,Sources of macroeconomic fluctuations: A regime-switching DSGE approach,sources of macroeconomic fluctuations: a regime-switching dsge approach
Tao Zha,2006,10.2139/ssrn.962420,Methods for inference in large multiple-equation Markov-switching models,methods for inference in large multiple-equation markov-switching models
Tao Zha,2007,10.2139/ssrn.998815,Understanding the New Keynesian model when monetary policy switches regimes,understanding the new keynesian model when monetary policy switches regimes
Tao Zha,2015,10.3386/w21244,Trends and Cycles in China's Macroeconomy,trends and cycles in china's macroeconomy
Tao Zha,2008,10.2139/ssrn.1300442,Generalizing the Taylor principle: Comment,generalizing the taylor principle: comment
Tao Zha,2015,10.1155/2015/475810,"A Robust Method for Speech Emotion Recognition Based on Infinite Student’s
                    
                      
                        t","a robust method for speech emotion recognition based on infinite student’s
                    
                      
                        t"
